Index,Total Reviewers,All Correct Count,Consensus Count,Agreed Criteria,Error Summary
1,5,0,1,['identifier_database_errors'],"{'identifier_database_errors': 1, 'interaction_type_errors': 1, 'incorrect_entities': 1, 'correct_but_could_be_more_precise': 1, 'other_errors': 1, 'not_a_valid_relationshiptype': 1}"
2,5,4,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
3,5,4,4,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'other_errors': 1}"
4,5,4,4,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'other_errors': 1}"
5,5,4,3,['all_correct'],"{'identifier_database_errors': 1, 'other_errors': 2}"
6,5,4,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
7,5,5,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
8,5,5,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
9,5,5,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
10,5,5,4,['all_correct'],{'correct_but_could_be_more_precise': 1}
11,5,2,2,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'interaction_type_errors': 1}"
12,5,2,2,['all_correct'],"{'correct_but_could_be_more_precise': 2, 'interaction_type_errors': 1}"
13,5,3,3,['all_correct'],{'other_errors': 1}
14,5,3,3,['all_correct'],{'other_errors': 1}
15,5,4,4,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'other_errors': 1}"
16,5,2,2,['all_correct'],"{'other_errors': 1, 'correct_but_could_be_more_precise': 1}"
17,5,2,2,['all_correct'],{'correct_but_could_be_more_precise': 2}
18,5,0,1,['incorrect_entities'],"{'incorrect_entities': 1, 'correct_but_could_be_more_precise': 2, 'not_a_valid_relationshiptype': 1, 'interaction_type_errors': 1, 'other_errors': 1}"
19,5,3,3,['all_correct'],"{'correct_but_could_be_more_precise': 2, 'identifier_database_errors': 1}"
20,5,2,2,['all_correct'],"{'incorrect_entities': 2, 'not_a_valid_relationshiptype': 1}"
21,5,0,1,['incorrect_entities'],"{'incorrect_entities': 2, 'not_a_valid_relationshiptype': 2, 'interaction_type_errors': 2, 'identifier_database_errors': 1}"
22,5,0,2,['not_a_valid_relationshiptype'],"{'incorrect_entities': 2, 'not_a_valid_relationshiptype': 2, 'interaction_type_errors': 2}"
23,5,0,1,['incorrect_entities'],"{'incorrect_entities': 2, 'not_a_valid_relationshiptype': 1, 'interaction_type_errors': 2}"
24,5,5,5,['all_correct'],{}
25,5,5,5,['all_correct'],{}
26,5,4,4,['all_correct'],"{'interaction_type_errors': 1, 'identifier_database_errors': 1}"
27,5,4,4,['all_correct'],"{'interaction_type_errors': 1, 'other_errors': 1}"
28,5,2,2,['other_errors'],"{'other_errors': 2, 'not_a_valid_relationshiptype': 1}"
29,5,2,2,['other_errors'],"{'other_errors': 2, 'not_a_valid_relationshiptype': 1}"
30,5,2,2,['other_errors'],"{'other_errors': 2, 'not_a_valid_relationshiptype': 1}"
31,5,2,2,['other_errors'],"{'other_errors': 2, 'not_a_valid_relationshiptype': 1}"
32,5,2,2,['all_correct'],"{'other_errors': 1, 'correct_but_could_be_more_precise': 1, 'not_a_valid_relationshiptype': 1}"
33,5,2,2,['all_correct'],"{'other_errors': 1, 'correct_but_could_be_more_precise': 1, 'not_a_valid_relationshiptype': 1}"
34,5,2,2,['all_correct'],"{'other_errors': 1, 'correct_but_could_be_more_precise': 1, 'not_a_valid_relationshiptype': 1}"
35,5,2,2,['interaction_type_errors'],"{'interaction_type_errors': 2, 'correct_but_could_be_more_precise': 1}"
36,5,2,2,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'interaction_type_errors': 1, 'other_errors': 1}"
37,5,3,3,['all_correct'],"{'correct_but_could_be_more_precise': 1, 'incorrect_entities': 1, 'identifier_database_errors': 1}"
38,5,2,2,['all_correct'],"{'not_a_valid_relationshiptype': 1, 'correct_but_could_be_more_precise': 1, 'interaction_type_errors': 1}"
39,5,2,3,['correct_but_could_be_more_precise'],{'correct_but_could_be_more_precise': 3}
40,5,0,1,['interaction_type_errors'],"{'interaction_type_errors': 1, 'identifier_database_errors': 2, 'incorrect_entities': 2, 'correct_but_could_be_more_precise': 2}"
41,5,0,2,['incorrect_entities'],"{'other_errors': 1, 'correct_but_could_be_more_precise': 1, 'incorrect_entities': 2, 'identifier_database_errors': 1}"
42,5,0,2,['correct_but_could_be_more_precise'],"{'correct_but_could_be_more_precise': 2, 'incorrect_entities': 2, 'other_errors': 1}"
43,5,1,2,['other_errors'],"{'other_errors': 2, 'interaction_type_errors': 2, 'incorrect_entities': 1, 'correct_but_could_be_more_precise': 1}"
44,5,0,2,['other_errors'],"{'other_errors': 2, 'correct_but_could_be_more_precise': 1, 'interaction_type_errors': 1, 'incorrect_entities': 2, 'identifier_database_errors': 1}"
45,5,3,3,['all_correct'],{'other_errors': 2}
46,5,0,3,['other_errors'],"{'other_errors': 4, 'not_a_valid_relationshiptype': 2}"
47,5,2,2,['all_correct'],"{'correct_but_could_be_more_precise': 2, 'interaction_type_errors': 1}"
48,5,0,1,['incorrect_entities'],"{'incorrect_entities': 1, 'not_a_valid_relationshiptype': 1, 'interaction_type_errors': 1, 'correct_but_could_be_more_precise': 2, 'other_errors': 1}"
49,5,2,2,['all_correct'],"{'interaction_type_errors': 2, 'correct_but_could_be_more_precise': 1}"
50,5,1,2,['interaction_type_errors'],"{'interaction_type_errors': 2, 'incorrect_entities': 2, 'identifier_database_errors': 1}"
